movies_titles,release_year,genre,imdb_rating,duration,age_rating,production_country,streaming_service,movie_url
Laapataa Ladies,2024,"Comedy, Drama",8.5,2h 2min,UA,India,Netflix,https://www.justwatch.com/in/movie/laapataa-ladies
Manjummel Boys,2024,"Mystery & Thriller, Action & Adventure, Drama",8.4,2h 15min,UA,India,Hotstar,https://www.justwatch.com/in/movie/manjummel-boys
Family Star,2024,"Action & Adventure, Drama, Romance",5.1,2h 39min,Age rating not found for https://www.justwatch.com/in/movie/family-star,India,Amazon Prime Video,https://www.justwatch.com/in/movie/family-star
Aavesham,2024,"Action & Adventure, Comedy",8.0,2h 38min,Age rating not found for https://www.justwatch.com/in/movie/aavesham-2024,India,Amazon Prime Video,https://www.justwatch.com/in/movie/aavesham-2024
Shaitaan,2024,"Mystery & Thriller, Horror, Drama",,2h 12min,UA,India,Netflix,https://www.justwatch.com/in/movie/black-magic-2024
Article 370,2024,"Mystery & Thriller, Action & Adventure, Drama",8.0,Duration not found for https://www.justwatch.com/in/movie/article-370,Age rating not found for https://www.justwatch.com/in/movie/article-370,India,Netflix,https://www.justwatch.com/in/movie/article-370
Madgaon Express,2024,"Drama, Comedy",7.3,2h 23min,UA,India,Amazon Prime Video,https://www.justwatch.com/in/movie/madgaon-express
Godzilla x Kong: The New Empire,2024,"Science-Fiction, Mystery & Thriller, Action & Adventure, Fantasy",6.3,1h 55min,UA,"United States, Australia",Streaming service not found for https://www.justwatch.com/in/movie/godzilla-x-kong-the-new-empire,https://www.justwatch.com/in/movie/godzilla-x-kong-the-new-empire
Yodha,2024,"Mystery & Thriller, Drama, Action & Adventure",5.7,2h 10min,UA,"India, United States",Amazon Prime Video,https://www.justwatch.com/in/movie/yodha-2022
Premalu,2024,"Comedy, Romance",7.9,2h 36min,U,India,Hotstar,https://www.justwatch.com/in/movie/premalu
Crew,2024,Genres not found for https://www.justwatch.com/in/movies?release_year_from=2000,6.4,1h 58min,UA,India,Streaming service not found for https://www.justwatch.com/in/movie/the-crew-2024,https://www.justwatch.com/in/movie/the-crew-2024
Dune: Part Two,2024,"Science-Fiction, Action & Adventure, Drama",,2h 47min,Age rating not found for https://www.justwatch.com/in/movie/dune-part-two,United States,Streaming service not found for https://www.justwatch.com/in/movie/dune-part-two,https://www.justwatch.com/in/movie/dune-part-two
Kung Fu Panda 4,2024,"Comedy, Kids & Family, Fantasy, Animation, Action & Adventure",6.3,Duration not found for https://www.justwatch.com/in/movie/kung-fu-panda-4,Age rating not found for https://www.justwatch.com/in/movie/kung-fu-panda-4,United States,Streaming service not found for https://www.justwatch.com/in/movie/kung-fu-panda-4,https://www.justwatch.com/in/movie/kung-fu-panda-4
Monkey Man,2024,"Action & Adventure, Mystery & Thriller",,2h 1min,Age rating not found for https://www.justwatch.com/in/movie/monkey-man,"United States, Canada, Singapore",Streaming service not found for https://www.justwatch.com/in/movie/monkey-man,https://www.justwatch.com/in/movie/monkey-man
Oppenheimer,2023,"Drama, History",8.3,3h 0min,UA,"United States, United Kingdom",Jio Cinema,https://www.justwatch.com/in/movie/oppenheimer
Teri Baaton Mein Aisa Uljha Jiya,2024,"Comedy, Drama, Romance, Science-Fiction",6.3,2h 21min,Age rating not found for https://www.justwatch.com/in/movie/untitled-shahid-kapoor-kriti-sanon-film,India,Amazon Prime Video,https://www.justwatch.com/in/movie/untitled-shahid-kapoor-kriti-sanon-film
Hanu-Man,2024,"Science-Fiction, Fantasy, Action & Adventure, Comedy",7.9,2h 39min,UA,India,Hotstar,https://www.justwatch.com/in/movie/hanu-man
Anyone But You,2023,Genres not found for https://www.justwatch.com/in/movies?release_year_from=2000,6.1,1h 44min,A,United States,Netflix,https://www.justwatch.com/in/movie/anyone-but-you
Tillu Square,2024,"Comedy, Crime, Drama, Mystery & Thriller",,2h 17min,Age rating not found for https://www.justwatch.com/in/movie/tillu-square,India,Netflix,https://www.justwatch.com/in/movie/tillu-square
The Beekeeper,2024,"Action & Adventure, Mystery & Thriller, Drama",6.4,Duration not found for https://www.justwatch.com/in/movie/the-beekeeper-2024,Age rating not found for https://www.justwatch.com/in/movie/the-beekeeper-2024,"United States, United Kingdom",Lionsgate Play,https://www.justwatch.com/in/movie/the-beekeeper-2024
Hereditary,2018,"Horror, Mystery & Thriller, Drama",7.3,2h 7min,A,United States,Amazon Prime Video,https://www.justwatch.com/in/movie/hereditary
Godzilla Minus One,2023,"Horror, Action & Adventure, Science-Fiction, Drama",8.0,2h 5min,Age rating not found for https://www.justwatch.com/in/movie/godzilla-minus-one,Japan,Streaming service not found for https://www.justwatch.com/in/movie/godzilla-minus-one,https://www.justwatch.com/in/movie/godzilla-minus-one
Dune,2021,"Science-Fiction, Action & Adventure, Drama",8.0,2h 35min,UA,United States,Netflix,https://www.justwatch.com/in/movie/dune-2021
The Idea of You,2024,"Romance, Comedy, Drama",6.4,1h 56min,Age rating not found for https://www.justwatch.com/in/movie/the-idea-of-you,United States,Amazon Prime Video,https://www.justwatch.com/in/movie/the-idea-of-you
Animal,2023,Genres not found for https://www.justwatch.com/in/movies?release_year_from=2000,,3h 21min,A,India,Netflix,https://www.justwatch.com/in/movie/animal-2022
