tv_shows_titles,tv_release_year,tv_genre,tv_imdb_rating,tv_duration,tv_age_rating,tv_production_country,tv_streaming_service,tv_show_url
Heeramandi: The Diamond Bazaar,2024.0,"Romance, Drama, History, War & Military",6.5,55min,Age rating not found for https://www.justwatch.com/in/tv-show/heeramandi,India,Netflix,https://www.justwatch.com/in/tv-show/heeramandi
Shōgun,2024.0,"War & Military, Drama, History",8.8,59min,Age rating not found for https://www.justwatch.com/in/tv-show/shogun-2024,United States,Hotstar,https://www.justwatch.com/in/tv-show/shogun-2024
Panchayat,2020.0,"Comedy, Drama",8.9,33min,Age rating not found for https://www.justwatch.com/in/tv-show/panchayat,India,Amazon Prime Video,https://www.justwatch.com/in/tv-show/panchayat
Mirzapur,2018.0,"Crime, Action & Adventure, Drama, Mystery & Thriller",8.5,50min,Age rating not found for https://www.justwatch.com/in/tv-show/mirzapur,India,Amazon Prime Video,https://www.justwatch.com/in/tv-show/mirzapur
Fallout,2024.0,"War & Military, Action & Adventure, Drama, Science-Fiction, Mystery & Thriller",8.5,59min,A,Production country not found for https://www.justwatch.com/in/tv-show/fallout,Streaming service not found for https://www.justwatch.com/in/tv-show/fallout,https://www.justwatch.com/in/tv-show/fallout
Game of Thrones,2011.0,"Action & Adventure, Drama, Fantasy, Science-Fiction",9.2,Duration not found for https://www.justwatch.com/in/tv-show/game-of-thrones,A,"United States, United Kingdom",Jio Cinema,https://www.justwatch.com/in/tv-show/game-of-thrones
Dead Boy Detectives,,"Action & Adventure, Comedy, Crime, Drama, Fantasy, Horror, Mystery & Thriller, Science-Fiction",7.6,54min,A,United States,Netflix,https://www.justwatch.com/in/tv-show/dead-boy-detectives
3 Body Problem,2024.0,"Science-Fiction, Mystery & Thriller, Drama, Fantasy",7.5,56min,A,United States,Netflix,https://www.justwatch.com/in/tv-show/3-body-problem
Young Sheldon,2017.0,Comedy,7.7,20min,U,United States,Amazon Prime Video,https://www.justwatch.com/in/tv-show/young-sheldon
Murder in Mahim,2024.0,,7.6,42min,Age rating not found for https://www.justwatch.com/in/tv-show/murder-in-mahim,India,Jio Cinema,https://www.justwatch.com/in/tv-show/murder-in-mahim
Baby Reindeer,2024.0,"Drama, Comedy",7.9,34min,Age rating not found for https://www.justwatch.com/in/tv-show/baby-reindeer,Production country not found for https://www.justwatch.com/in/tv-show/baby-reindeer,Netflix,https://www.justwatch.com/in/tv-show/baby-reindeer
Apharan,2018.0,"Drama, Action & Adventure, Crime, Mystery & Thriller",8.3,24min,Age rating not found for https://www.justwatch.com/in/tv-show/apharan,India,Streaming service not found for https://www.justwatch.com/in/tv-show/apharan,https://www.justwatch.com/in/tv-show/apharan
Attack on Titan,2013.0,"Fantasy, Horror, Animation, Action & Adventure, Drama, Science-Fiction",9.0,Duration not found for https://www.justwatch.com/in/tv-show/attack-on-titan,UA,Japan,Amazon Prime Video,https://www.justwatch.com/in/tv-show/attack-on-titan
Sunflower,,"Comedy, Crime",7.4,38min,A,India,Zee5,https://www.justwatch.com/in/tv-show/sunflower-2021
