movies_titles,release_year,genre,imdb_rating,duration,age_rating,production_country,streaming_service,movie_url
Laapataa Ladies,2024,"Comedy, Drama",8.5,2h 2min,UA,India,Netflix,https://www.justwatch.com/in/movie/laapataa-ladies
Manjummel Boys,2024,"Mystery & Thriller, Action & Adventure, Drama",8.4,2h 15min,UA,India,Hotstar,https://www.justwatch.com/in/movie/manjummel-boys
Aavesham,2024,"Action & Adventure, Comedy",8.0,2h 38min,Age rating not found for https://www.justwatch.com/in/movie/aavesham-2024,India,Amazon Prime Video,https://www.justwatch.com/in/movie/aavesham-2024
Article 370,2024,"Mystery & Thriller, Action & Adventure, Drama",8.0,Duration not found for https://www.justwatch.com/in/movie/article-370,Age rating not found for https://www.justwatch.com/in/movie/article-370,India,Netflix,https://www.justwatch.com/in/movie/article-370
Madgaon Express,2024,"Drama, Comedy",7.3,2h 23min,UA,India,Amazon Prime Video,https://www.justwatch.com/in/movie/madgaon-express
Premalu,2024,"Comedy, Romance",7.9,2h 36min,U,India,Hotstar,https://www.justwatch.com/in/movie/premalu
Oppenheimer,2023,"Drama, History",8.3,3h 0min,UA,"United States, United Kingdom",Jio Cinema,https://www.justwatch.com/in/movie/oppenheimer
Hanu-Man,2024,"Science-Fiction, Fantasy, Action & Adventure, Comedy",7.9,2h 39min,UA,India,Hotstar,https://www.justwatch.com/in/movie/hanu-man
Godzilla Minus One,2023,"Horror, Action & Adventure, Science-Fiction, Drama",8.0,2h 5min,Age rating not found for https://www.justwatch.com/in/movie/godzilla-minus-one,Japan,Streaming service not found for https://www.justwatch.com/in/movie/godzilla-minus-one,https://www.justwatch.com/in/movie/godzilla-minus-one
Amar Singh Chamkila,2024,"Drama, Music & Musical, Romance",8.0,2h 25min,Age rating not found for https://www.justwatch.com/in/movie/amar-singh-chamkila,India,Netflix,https://www.justwatch.com/in/movie/amar-singh-chamkila
777 Charlie,2022,"Action & Adventure, Comedy, Drama",8.7,Duration not found for https://www.justwatch.com/in/movie/777-charlie,UA,India,Amazon Prime Video,https://www.justwatch.com/in/movie/777-charlie
12th Fail,2023,Drama,8.9,2h 27min,Age rating not found for https://www.justwatch.com/in/movie/12th-fail,India,Hotstar,https://www.justwatch.com/in/movie/12th-fail
Anatomy of a Fall,2023,"Mystery & Thriller, Crime, Drama",7.7,2h 32min,Age rating not found for https://www.justwatch.com/in/movie/anatomie-dune-chute,France,Amazon Prime Video,https://www.justwatch.com/in/movie/anatomie-dune-chute
DJ Tillu,2022,"Comedy, Crime, Romance, Action & Adventure",7.2,2h 1min,UA,India,Sony Liv,https://www.justwatch.com/in/movie/dj-tillu
Sam Bahadur,2023,"Drama, War & Military, History",7.7,2h 30min,UA,India,Zee5,https://www.justwatch.com/in/movie/sam-bahadur
Bramayugam,2024,"Mystery & Thriller, Horror",7.9,2h 19min,UA,India,Sony Liv,https://www.justwatch.com/in/movie/bramayugam
The Fall Guy,2024,"Action & Adventure, Comedy, Drama",7.2,2h 6min,UA,United States,Streaming service not found for https://www.justwatch.com/in/movie/the-fall-guy,https://www.justwatch.com/in/movie/the-fall-guy
The Goat Life,2024,Drama,8.6,2h 52min,UA,"India, United States",Streaming service not found for https://www.justwatch.com/in/movie/aadujeevitham,https://www.justwatch.com/in/movie/aadujeevitham
Late Night with the Devil,2024,Genres not found for https://www.justwatch.com/in/movies?release_year_from=2000,7.1,1h 33min,Age rating not found for https://www.justwatch.com/in/movie/late-night-with-the-devil,"Australia, United Arab Emirates, United States",Streaming service not found for https://www.justwatch.com/in/movie/late-night-with-the-devil,https://www.justwatch.com/in/movie/late-night-with-the-devil
Maidaan,2022,"History, Sport, Drama",8.4,3h 1min,Age rating not found for https://www.justwatch.com/in/movie/maidaan,India,Streaming service not found for https://www.justwatch.com/in/movie/maidaan,https://www.justwatch.com/in/movie/maidaan
Veppam Kulir Mazhai,2024,Mystery & Thriller,8.2,2h 12min,UA,India,Amazon Prime Video,https://www.justwatch.com/in/movie/veppam-kulir-mazhai
Kingdom of the Planet of the Apes,2024,"Action & Adventure, Science-Fiction",7.3,2h 25min,Age rating not found for https://www.justwatch.com/in/movie/kingdom-of-the-planet-of-the-apes,United States,Streaming service not found for https://www.justwatch.com/in/movie/kingdom-of-the-planet-of-the-apes,https://www.justwatch.com/in/movie/kingdom-of-the-planet-of-the-apes
Siddharth Roy,2024,"Drama, Romance",8.2,2h 28min,A,India,aha,https://www.justwatch.com/in/movie/siddharth-roy
8 A.M. Metro,2023,Drama,7.4,1h 55min,UA,India,Zee5,https://www.justwatch.com/in/movie/8-a-m-metro
Wonka,2023,"Comedy, Kids & Family, Fantasy",7.0,1h 57min,U,"United Kingdom, United States",Jio Cinema,https://www.justwatch.com/in/movie/wonka
K.G.F: Chapter 2,2022,"Drama, Mystery & Thriller, Action & Adventure, Crime",8.3,2h 46min,UA,India,Amazon Prime Video,https://www.justwatch.com/in/movie/k-g-f-chapter-2
Swatantra Veer Savarkar,2024,"Drama, History",7.7,2h 56min,Age rating not found for https://www.justwatch.com/in/movie/swatantra-veer-savarkar,India,Zee5,https://www.justwatch.com/in/movie/swatantra-veer-savarkar
Angithee 2,2023,"Drama, Romance",8.0,1h 19min,Age rating not found for https://www.justwatch.com/in/movie/angithee-2,India,ShemarooMe,https://www.justwatch.com/in/movie/angithee-2
