tv_shows_titles,tv_release_year,tv_genre,tv_imdb_rating,tv_duration,tv_age_rating,tv_production_country,tv_streaming_service,tv_show_url
Shōgun,2024.0,"War & Military, Drama, History",8.8,59min,Age rating not found for https://www.justwatch.com/in/tv-show/shogun-2024,United States,Hotstar,https://www.justwatch.com/in/tv-show/shogun-2024
Fallout,2024.0,"War & Military, Action & Adventure, Drama, Science-Fiction, Mystery & Thriller",8.5,59min,A,Production country not found for https://www.justwatch.com/in/tv-show/fallout,Streaming service not found for https://www.justwatch.com/in/tv-show/fallout,https://www.justwatch.com/in/tv-show/fallout
3 Body Problem,2024.0,"Science-Fiction, Mystery & Thriller, Drama, Fantasy",7.5,56min,A,United States,Netflix,https://www.justwatch.com/in/tv-show/3-body-problem
Murder in Mahim,2024.0,,7.6,42min,Age rating not found for https://www.justwatch.com/in/tv-show/murder-in-mahim,India,Jio Cinema,https://www.justwatch.com/in/tv-show/murder-in-mahim
Baby Reindeer,2024.0,"Drama, Comedy",7.9,34min,Age rating not found for https://www.justwatch.com/in/tv-show/baby-reindeer,Production country not found for https://www.justwatch.com/in/tv-show/baby-reindeer,Netflix,https://www.justwatch.com/in/tv-show/baby-reindeer
Maxton Hall: The World Between Us,2024.0,"Drama, Romance",7.7,47min,Age rating not found for https://www.justwatch.com/in/tv-show/maxton-hall-the-world-between-us,Germany,Amazon Prime Video,https://www.justwatch.com/in/tv-show/maxton-hall-the-world-between-us
Farzi,2023.0,"Crime, Drama, Mystery & Thriller",8.4,56min,Age rating not found for https://www.justwatch.com/in/tv-show/farzi,India,Amazon Prime Video,https://www.justwatch.com/in/tv-show/farzi
Ranneeti: Balakot & Beyond,2024.0,Action & Adventure,7.8,40min,Age rating not found for https://www.justwatch.com/in/tv-show/ranneeti-balakot-and-beyond,India,Jio Cinema,https://www.justwatch.com/in/tv-show/ranneeti-balakot-and-beyond
Inspector Rishi,2024.0,"Horror, Drama, Mystery & Thriller, Action & Adventure",7.2,45min,A,India,Amazon Prime Video,https://www.justwatch.com/in/tv-show/inspector-rishi
Dark Matter,2024.0,"Mystery & Thriller, Drama, Science-Fiction",7.4,53min,A,United States,Apple TV Plus,https://www.justwatch.com/in/tv-show/dark-matter-2024
Solo Leveling,2024.0,"Fantasy, Animation, Action & Adventure, Science-Fiction",8.3,24min,Age rating not found for https://www.justwatch.com/in/tv-show/solo-leveling-2024,"Japan, South Korea",Crunchyroll,https://www.justwatch.com/in/tv-show/solo-leveling-2024
House of the Dragon,2022.0,"Science-Fiction, Drama, Action & Adventure, Fantasy, Romance",8.4,1h 2min,A,Production country not found for https://www.justwatch.com/in/tv-show/house-of-the-dragon,Streaming service not found for https://www.justwatch.com/in/tv-show/house-of-the-dragon,https://www.justwatch.com/in/tv-show/house-of-the-dragon
The Gentlemen,2024.0,"Action & Adventure, Comedy, Crime, Drama",8.1,50min,A,"United Kingdom, United States",Netflix,https://www.justwatch.com/in/tv-show/the-gentlemen
The 8 Show,2024.0,"Drama, Mystery & Thriller, Comedy",7.3,52min,Age rating not found for https://www.justwatch.com/in/tv-show/the-8-show,South Korea,Netflix,https://www.justwatch.com/in/tv-show/the-8-show
Ripley,2024.0,"Crime, Drama, Mystery & Thriller",8.2,56min,Age rating not found for https://www.justwatch.com/in/tv-show/ripley,United States,Netflix,https://www.justwatch.com/in/tv-show/ripley
Reacher,2022.0,"Action & Adventure, Crime, Drama, Mystery & Thriller",8.1,48min,A,United States,Amazon Prime Video,https://www.justwatch.com/in/tv-show/jack-reacher
We Were the Lucky Ones,2024.0,Drama,7.3,Duration not found for https://www.justwatch.com/in/tv-show/we-were-the-lucky-ones,Age rating not found for https://www.justwatch.com/in/tv-show/we-were-the-lucky-ones,Production country not found for https://www.justwatch.com/in/tv-show/we-were-the-lucky-ones,Hotstar,https://www.justwatch.com/in/tv-show/we-were-the-lucky-ones
Dehati Ladke,2023.0,Drama,7.2,24min,Age rating not found for https://www.justwatch.com/in/tv-show/dehati-ladke,India,Amazon miniTV,https://www.justwatch.com/in/tv-show/dehati-ladke
Maamla Legal Hai,2024.0,"Drama, Comedy",8.1,Duration not found for https://www.justwatch.com/in/tv-show/maamla-legal-hai,Age rating not found for https://www.justwatch.com/in/tv-show/maamla-legal-hai,Production country not found for https://www.justwatch.com/in/tv-show/maamla-legal-hai,Streaming service not found for https://www.justwatch.com/in/tv-show/maamla-legal-hai,https://www.justwatch.com/in/tv-show/maamla-legal-hai
The Atypical Family,2024.0,"Science-Fiction, Drama, Action & Adventure, Fantasy, Romance",7.4,1h 13min,Age rating not found for https://www.justwatch.com/in/tv-show/the-atypical-family,South Korea,Netflix,https://www.justwatch.com/in/tv-show/the-atypical-family
X-Men '97,2024.0,"Animation, Action & Adventure, Science-Fiction, Fantasy",9.0,Duration not found for https://www.justwatch.com/in/tv-show/x-men-97,Age rating not found for https://www.justwatch.com/in/tv-show/x-men-97,United States,Hotstar,https://www.justwatch.com/in/tv-show/x-men-97
Dr. Arora,2022.0,"Comedy, Drama",7.1,37min,A,India,Sony Liv,https://www.justwatch.com/in/tv-show/dr-arora
Sugar,2024.0,"Drama, Mystery & Thriller, Crime",7.6,36min,Age rating not found for https://www.justwatch.com/in/tv-show/sugar,United States,Apple TV Plus,https://www.justwatch.com/in/tv-show/sugar
The Broken News,2022.0,"Drama, Mystery & Thriller",7.6,36min,UA,Production country not found for https://www.justwatch.com/in/tv-show/the-broken-news,Zee5,https://www.justwatch.com/in/tv-show/the-broken-news
Shrimad Ramayan,2024.0,"Kids & Family, Fantasy, Drama",9.3,Duration not found for https://www.justwatch.com/in/tv-show/shrimad-ramayan,Age rating not found for https://www.justwatch.com/in/tv-show/shrimad-ramayan,India,Sony Liv,https://www.justwatch.com/in/tv-show/shrimad-ramayan
Lootere,2024.0,"Action & Adventure, Crime",7.0,45min,Age rating not found for https://www.justwatch.com/in/tv-show/lootere,India,Hotstar,https://www.justwatch.com/in/tv-show/lootere
